model,isl,osl,prefix,concurrency,request_rate,bs,global_bs,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,num_total_gpus,tp,pp,dp,moe_tp,moe_ep,parallel,gemm,kvcache,fmha,moe,comm,memory,balance_score,num_ctx_reqs,num_gen_reqs,num_tokens,ctx_tokens,gen_tokens,backend,version,system,power_w,tokens/s/gpu_cluster
QWEN3_32B,5000,1000,0,128,1.229,128,128,896.133,103.774,104566.405,1.229,0.307,1227.947,306.987,9.636,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,37.682,0.128,1.0,127.0,5127.0,5000,127.0,sglang,0.5.1.post1,h200_sxm,0.0,306.987
QWEN3_32B,5000,1000,0,112,1.215,112,112,855.637,91.799,92563.195,1.215,0.304,1213.988,303.497,10.893,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,34.75,0.112,1.0,111.0,5111.0,5000,111.0,sglang,0.5.1.post1,h200_sxm,0.0,303.497
QWEN3_32B,5000,1000,0,96,1.196,96,96,815.14,79.881,80615.787,1.196,0.299,1195.032,298.758,12.519,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,31.819,0.096,1.0,95.0,5095.0,5000,95.0,sglang,0.5.1.post1,h200_sxm,0.0,298.758
QWEN3_32B,5000,1000,0,64,1.173,64,64,734.158,54.163,54842.637,1.173,0.293,1172.046,293.011,18.463,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,25.956,0.064,1.0,63.0,5063.0,5000,63.0,sglang,0.5.1.post1,h200_sxm,0.0,293.011
QWEN3_32B,5000,1000,0,56,1.153,56,56,713.997,48.176,48841.726,1.153,0.288,1151.896,287.974,20.757,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,24.49,0.056,1.0,55.0,5055.0,5000,55.0,sglang,0.5.1.post1,h200_sxm,0.0,287.974
QWEN3_32B,5000,1000,0,48,1.132,48,48,926.739,41.631,42515.908,1.132,0.283,1130.478,282.62,24.021,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,23.595,0.024,2.0,46.0,10046.0,10000,46.0,sglang,0.5.1.post1,h200_sxm,0.0,282.62
QWEN3_32B,5000,1000,0,40,1.09,40,40,851.609,35.916,36731.881,1.09,0.272,1088.684,272.171,27.843,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,22.129,0.02,2.0,38.0,10038.0,10000,38.0,sglang,0.5.1.post1,h200_sxm,0.0,272.171
QWEN3_32B,5000,1000,0,32,1.032,32,32,778.477,30.205,30953.015,1.032,0.258,1031.378,257.845,33.107,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,20.663,0.016,2.0,30.0,10030.0,10000,30.0,sglang,0.5.1.post1,h200_sxm,0.0,257.845
QWEN3_32B,5000,1000,0,28,0.997,28,28,742.643,27.281,27996.382,0.997,0.249,996.407,249.102,36.656,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,19.93,0.014,2.0,26.0,10026.0,10000,26.0,sglang,0.5.1.post1,h200_sxm,0.0,249.102
QWEN3_32B,5000,1000,0,24,0.954,24,24,707.315,24.356,25038.736,0.954,0.239,953.365,238.341,41.058,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,19.197,0.012,2.0,22.0,10022.0,10000,22.0,sglang,0.5.1.post1,h200_sxm,0.0,238.341
QWEN3_32B,5000,1000,0,40,1.808,40,40,536.318,21.629,22143.503,1.808,0.226,1805.818,225.727,46.235,8,8,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,14.653,0.02,2.0,38.0,10038.0,10000,38.0,sglang,0.5.1.post1,h200_sxm,0.0,225.727
QWEN3_32B,5000,1000,0,20,0.9,20,20,672.493,21.428,22079.007,0.9,0.225,899.103,224.776,46.668,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,18.464,0.01,2.0,18.0,10018.0,10000,18.0,sglang,0.5.1.post1,h200_sxm,0.0,224.776
QWEN3_32B,5000,1000,0,32,1.682,32,32,491.927,18.52,18993.287,1.682,0.21,1680.649,210.081,53.996,8,8,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,13.919,0.016,2.0,30.0,10030.0,10000,30.0,sglang,0.5.1.post1,h200_sxm,0.0,210.081
QWEN3_32B,5000,1000,0,16,0.829,16,16,638.225,18.501,19120.501,0.829,0.207,828.348,207.087,54.052,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,17.732,0.008,2.0,14.0,10014.0,10000,14.0,sglang,0.5.1.post1,h200_sxm,0.0,207.087
QWEN3_32B,5000,1000,0,15,0.806,15,15,396.834,18.214,18592.553,0.806,0.201,804.902,201.225,54.903,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,16.978,0.015,1.0,14.0,5014.0,5000,14.0,sglang,0.5.1.post1,h200_sxm,0.0,201.225
QWEN3_32B,5000,1000,0,28,1.607,28,28,470.132,16.919,17371.993,1.607,0.201,1605.637,200.705,59.106,8,8,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,13.553,0.014,2.0,26.0,10026.0,10000,26.0,sglang,0.5.1.post1,h200_sxm,0.0,200.705
QWEN3_32B,5000,1000,0,24,1.518,24,24,448.59,15.312,15745.325,1.518,0.19,1515.99,189.499,65.308,8,8,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,13.186,0.012,2.0,22.0,10022.0,10000,22.0,sglang,0.5.1.post1,h200_sxm,0.0,189.499
QWEN3_32B,5000,1000,0,20,1.408,20,20,427.301,13.697,14110.418,1.408,0.176,1406.922,175.865,73.01,8,8,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,12.819,0.01,2.0,18.0,10018.0,10000,18.0,sglang,0.5.1.post1,h200_sxm,0.0,175.865
