model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,power_w,tokens/s/gpu_cluster
QWEN3_32B,5000,1000,0,210,2.013,1,1,1,30,30,7,804.674,95.018,95727.656,2.013,0.252,2013.3,251.663,10.524,2.237,0.316,8,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,37.912,sglang,0.5.1.post1,h200_sxm,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,58.234,sglang,0.5.1.post1,h200_sxm,0.0,251.663
QWEN3_32B,5000,1000,0,196,2.009,1,1,1,28,28,7,804.674,89.928,90642.746,2.009,0.251,2009.28,251.16,11.12,2.237,0.312,8,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,37.912,sglang,0.5.1.post1,h200_sxm,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,56.769,sglang,0.5.1.post1,h200_sxm,0.0,251.16
QWEN3_32B,5000,1000,0,182,1.977,1,1,1,26,26,7,804.674,84.838,85557.836,1.977,0.247,1977.08,247.135,11.787,2.237,0.307,8,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,37.912,sglang,0.5.1.post1,h200_sxm,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,55.304,sglang,0.5.1.post1,h200_sxm,0.0,247.135
QWEN3_32B,5000,1000,0,168,1.938,1,1,1,24,24,7,804.674,79.747,80471.927,1.938,0.242,1938.44,242.305,12.54,2.237,0.301,8,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,37.912,sglang,0.5.1.post1,h200_sxm,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,53.84,sglang,0.5.1.post1,h200_sxm,0.0,242.305
QWEN3_32B,5000,1000,0,154,1.9,1,1,1,22,22,7,804.674,74.657,75387.017,1.9,0.237,1899.8,237.475,13.395,2.237,0.295,8,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,37.912,sglang,0.5.1.post1,h200_sxm,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,52.375,sglang,0.5.1.post1,h200_sxm,0.0,237.475
QWEN3_32B,5000,1000,0,140,1.855,1,1,1,20,20,7,804.674,69.567,70302.107,1.855,0.232,1854.72,231.84,14.375,2.237,0.288,8,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,37.912,sglang,0.5.1.post1,h200_sxm,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,50.91,sglang,0.5.1.post1,h200_sxm,0.0,231.84
QWEN3_32B,5000,1000,0,132,1.802,1,1,2,44,44,3,804.674,67.469,68206.205,1.802,0.225,1802.28,225.285,14.822,2.237,0.653,8,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,37.912,sglang,0.5.1.post1,h200_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,37.453,sglang,0.5.1.post1,h200_sxm,0.0,225.285
QWEN3_32B,5000,1000,0,126,1.797,1,1,1,18,18,7,804.674,64.477,65217.197,1.797,0.225,1796.76,224.595,15.509,2.237,0.279,8,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,37.912,sglang,0.5.1.post1,h200_sxm,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,49.445,sglang,0.5.1.post1,h200_sxm,0.0,224.595
QWEN3_32B,5000,1000,0,120,1.769,1,1,2,40,40,3,804.674,62.471,63213.203,1.769,0.221,1769.16,221.145,16.008,2.237,0.641,8,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,37.912,sglang,0.5.1.post1,h200_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,35.988,sglang,0.5.1.post1,h200_sxm,0.0,221.145
QWEN3_32B,5000,1000,0,112,1.739,1,1,1,16,16,7,804.674,59.386,60131.288,1.739,0.217,1738.8,217.35,16.839,2.237,0.27,8,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,37.912,sglang,0.5.1.post1,h200_sxm,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,47.98,sglang,0.5.1.post1,h200_sxm,0.0,217.35
